cdtCode	 description	 category	 hpmsCategory
D6611	retainer onlay - cast high noble metal, three or more surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6612	retainer onlay - cast predominantly base metal, two surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6613	retainer onlay - cast predominantly base metal, three or more surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6614	retainer onlay - cast noble metal, two surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6615	retainer onlay - cast noble metal, three or more surfaces 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6624	retainer inlay - titanium 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6634	retainer onlay - titanium 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6710	retainer crown - indirect resin based composite (not to be used as a temporary or provisional crown) 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6720	retainer crown - resin with high noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6721	retainer crown - resin with predominantly base metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6722	retainer crown - resin with noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6740	retainer crown-porcelain/ceramic 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6750	retainer crown - porcelain fused to high noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6751	retainer crown - porcelain fused to predominantly base metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6752	retainer crown - porcelain fused to noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6780	retainer crown - 3/4 cast high noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6781	retainer crown-3/4 cast predominately based metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6782	retainer crown-3/4 cast noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6783	retainer crown-3/4 porcelain/ceramic 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6790	retainer crown - full cast high noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6791	retainer crown - full cast predominantly base metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6792	retainer crown - full cast noble metal 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6793	provisional retainer crown-further treatment or completion of diagnosis necessary prior to final impression 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6794	retainer crown - titanium 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6920	Connector bar 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6930	recement or re-bond fixed partial denture 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6940	Stress breaker 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6950	Precision attachment 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6980	Fixed partial denture repair 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D6999	Fixed prosthodontic procedure 	Prosthodontics, fixed 	Comprehensive - Prosthodontics
D7111	extraction, coronal remnants - primary tooth 	Oral Surgery 	Comprehensive - Prosthodontics
D7140	extraction, erupted tooth or exposed root (elevation and/or forceps removal) 	Oral Surgery 	Comprehensive - Prosthodontics
D7210	surgical removal of erupted tooth req removal of bone,sectioning of tooth and including elevation of mucoperiosteal flap 	Oral Surgery 	Comprehensive - Prosthodontics
D7220	removal of impacted tooth - soft tissue 	Oral Surgery 	Comprehensive - Prosthodontics
D7230	removal of impacted tooth - partially bony 	Oral Surgery 	Comprehensive - Prosthodontics
D7240	removal of impacted tooth - completely bony 	Oral Surgery 	Comprehensive - Prosthodontics
D7241	removal of impacted tooth - completely bony, with unusual surgical 	Oral Surgery 	Comprehensive - Prosthodontics
D7250	surgical removal of residual tooth roots (cutting procedure) 	Oral Surgery 	Comprehensive - Prosthodontics
D7251	Coronectomy-intentional partial tooth removal is performed when a neurovascular complication is likely if the entire impacted tooth 	Oral Surgery 	Comprehensive - Prosthodontics
D7260	oroantral fistula closure 	Oral Surgery 	Comprehensive - Prosthodontics
D7261	primary closure of a sinus perforation 	Oral Surgery 	Comprehensive - Prosthodontics
D7270	tooth reimplantation and/or stabilization of accidentally evulsed or displaced tooth 	Oral Surgery 	Comprehensive - Prosthodontics
D7272	tooth transplantation (includes reimplantation from one site to another and splinting and/or stabilization) 	Oral Surgery 	Comprehensive - Prosthodontics
D7280	surgical access of an unerupted tooth 	Oral Surgery 	Comprehensive - Prosthodontics
D7282	mobilization of erupted or malpositioned tooth to aid eruption 	Oral Surgery 	Comprehensive - Prosthodontics
D7283	placement of device to facilitate eruption of impacted tooth 	Oral Surgery 	Comprehensive - Prosthodontics
D7285	incisional biopsy of oral tissue - hard (bone, tooth) 	Oral Surgery 	Comprehensive - Prosthodontics
D7286	incisional biopsy of oral tissue - soft (all others) 	Oral Surgery 	Comprehensive - Prosthodontics
D7287	exfolliative cytological sample collection 	Oral Surgery 	Comprehensive - Prosthodontics
D7288	brush biopsy - transepithelial sample collection 	Oral Surgery 	Comprehensive - Prosthodontics
D7290	Surgical repositioning of teeth 	Oral Surgery 	Comprehensive - Prosthodontics
D7291	Transseptal fiberotomy, by report 	Oral Surgery 	Comprehensive - Prosthodontics
D7292	Surgical placement of temporary anchorage device [screw retained plate] requiring flap; includes device removal 	Oral Surgery 	Comprehensive - Prosthodontics
D7293	Surgical placement of temporary anchorage device requiring flap; includes device removal 	Oral Surgery 	Comprehensive - Prosthodontics
D7294	Surgical placement of temporary anchorage device without flap; includes device removal 	Oral Surgery 	Comprehensive - Prosthodontics
D7295	Harvest of bone for use in autogenous grafting procedure 	Oral Surgery 	Comprehensive - Prosthodontics
D7310	alveoloplasty in conjunction with extractions - four or more teeth or tooth spaces, per quadrant 	Oral Surgery 	Comprehensive - Prosthodontics
D7311	alveoplasty in conjunction with extraction - one to three teeth or tooth spaces, per quadrant 	Oral Surgery 	Comprehensive - Prosthodontics
D7320	alveoloplasty not in conjunction with extractions - four or more teeth or tooth spaces, per quadrant 	Oral Surgery 	Comprehensive - Prosthodontics
D7321	alveoplasty not in conjunction with extraction - one to three teeth or tooth spaces, per quadrant 	Oral Surgery 	Comprehensive - Prosthodontics
D7340	vestibuloplasty - ridge extension (secondary epithelialization) 	Oral Surgery 	Comprehensive - Prosthodontics
D7350	vestibuloplasty - ridge extension (including soft tissue grafts, muscle reattachment, revision of soft tissue attachment 	Oral Surgery 	Comprehensive - Prosthodontics
D7410	excision of benign lesion up to 1.25 cm 	Oral Surgery 	Comprehensive - Prosthodontics
D7411	excision of benign lesion greater than 1.25 cm 	Oral Surgery 	Comprehensive - Prosthodontics
D7412	excision of benign lesion, complicated 	Oral Surgery 	Comprehensive - Prosthodontics
D7413	Excision of malignant lesion up to 1.25 cm 	Oral Surgery 	Comprehensive - Prosthodontics
D7414	Excision of malignant lesion greater than 1.25 cm 	Oral Surgery 	Comprehensive - Prosthodontics
D7415	Excision of malignant lesion, complicated 	Oral Surgery 	Comprehensive - Prosthodontics
D7440	Excision of malignant tumor – lesion diameter up to 1.25 cm 	Oral Surgery 	Comprehensive - Prosthodontics
D7441	Excision of malignant tumor - lesion diameter greater than 1.25cm 	Oral Surgery 	Comprehensive - Prosthodontics
D7450	removal of benign odontogenic cyst or tumor - lesion diameter up to 1.25 cm 	Oral Surgery 	Comprehensive - Prosthodontics
D7451	removal of benign odontogenic cyst or tumor - lesion diameter greater than 1.25 cm 	Oral Surgery 	Comprehensive - Prosthodontics
D7460	removal of benign nonodontogenic cyst or tumor - lesion diameter up to 1.25 cm 	Oral Surgery 	Comprehensive - Prosthodontics
D7461	removal of benign nonodontogenic cyst or tumor - lesion diameter greater than 1.25 cm 	Oral Surgery 	Comprehensive - Prosthodontics
D7465	Destruction of lesion(s) by physical or chemical method, by report 	Oral Surgery 	Comprehensive - Prosthodontics
D7471	Removal of exostosis - per site 	Oral Surgery 	Comprehensive - Prosthodontics
D7472	removal of torus palatinus 	Oral Surgery 	Comprehensive - Prosthodontics
D7473	removal of torus mandibularis 	Oral Surgery 	Comprehensive - Prosthodontics
D7485	Surgical reduction of osseous tuberosity 	Oral Surgery 	Comprehensive - Prosthodontics
D7490	Radical resection of mandible with bone graft 	Oral Surgery 	Comprehensive - Prosthodontics
D7510	incision and drainage of abscess - intraoral soft tissue 	Oral Surgery 	Comprehensive - Prosthodontics
D7511	incicion and drainage of abscess - intraoral soft tissue - complicated (includes drainage of multiple fascial spaces) 	Oral Surgery 	Comprehensive - Prosthodontics
D7520	incision and drainage of abscess - extraoral soft tissue 	Oral Surgery 	Comprehensive - Prosthodontics
D7521	incision and drainage of abscess - extraoral soft tissue - complicated (includes drainage of multiple fascial spaces) 	Oral Surgery 	Comprehensive - Prosthodontics
D7530	removal of foreign body from mucosa, skin, or subcutaneous alveolar tissue 	Oral Surgery 	Comprehensive - Prosthodontics
D7540	removal of reaction-producing foreign bodies - musculoskeletal system 	Oral Surgery 	Comprehensive - Prosthodontics
D7550	partial ostectomy/sequestrectomy for removal of non-vital bone 	Oral Surgery 	Comprehensive - Prosthodontics
D7560	maxillary sinusotomy for removal of tooth fragment or foreign body 	Oral Surgery 	Comprehensive - Prosthodontics
D7881	occlusal orthotic device adjustment 	Oral Surgery 	Comprehensive - Prosthodontics
D7953	Bone replacement graft for ridge preservation - per site 	Oral Surgery 	Comprehensive - Prosthodontics
D7960	frenulectomy (frenectomy or frenotomy) - separate procedure not incidental to another procedure 	Oral Surgery 	Comprehensive - Prosthodontics
D7963	frenuloplasty 	Oral Surgery 	Comprehensive - Prosthodontics
D7970	excision of hyperplastic tissue - per arch 	Oral Surgery 	Comprehensive - Prosthodontics
D7971	excision of pericoronal gingiva 	Oral Surgery 	Comprehensive - Prosthodontics
D7972	surgical reduction of fibrous tuberosity 	Oral Surgery 	Comprehensive - Prosthodontics
D7997	appliance removal (not by dentist who placed appliance), includes removal of archbar 	Oral Surgery 	Comprehensive - Prosthodontics
D7999	Unspecified oral surgery procedure, by report 	Oral Surgery 	Comprehensive - Prosthodontics
D8050	interceptive orthodontic treatment of the primary dentition 	Orthodontics 	Comprehensive - Non-Routine
D8060	interceptive orthodontic treatment of the transitional dentition 	Orthodontics 	Comprehensive - Non-Routine
D8070	comprehensive orthodontic treatment of the transitional dentition 	Orthodontics 	Comprehensive - Non-Routine
D8080	comprehensive orthodontic treatment of the adolescent dentition 	Orthodontics 	Comprehensive - Non-Routine
D8090	comprehensive orthodontic treatment of the adult dentition 	Orthodontics 	Comprehensive - Non-Routine
D8660	pre-orthodontic treatment examination to monitor growth and development 	Orthodontics 	Comprehensive - Non-Routine
D8670	periodic orthodontic treatment visit 	Orthodontics 	Comprehensive - Non-Routine
D8680	orthodontic retention (removal of appliances, construction and placement of retainer(s)) 	Orthodontics 	Comprehensive - Non-Routine
D8681	removable orthodontic retainer adjustment 	Orthodontics 	Comprehensive - Non-Routine
D8693	re-cement rebonding of fixed retainers 	Orthodontics 	Comprehensive - Non-Routine
D8999	unspecified orthodontic procedure, by report 	Orthodontics 	Comprehensive - Non-Routine
D9110	palliative (emergency) treatment of dental pain - minor procedure 	Adjunctive 	Comprehensive - Non-Routine
D9120	fixed partial denture sectioning 	Adjunctive 	Comprehensive - Non-Routine
D9210	local anesthesia not in conjunction with operative or surgical procedures 	Adjunctive 	Comprehensive - Non-Routine
D9211	Regional block anesthesia 	Adjunctive 	Comprehensive - Non-Routine
D9212	Trigeminal division block anesthesia 	Adjunctive 	Comprehensive - Non-Routine
D9215	local anesthesia in conjunction with operative or surgical procedures 	Adjunctive 	Comprehensive - Non-Routine
D9219	evaluation for deep sedation or general anesthesia 	Adjunctive 	Comprehensive - Non-Routine
D9222	Deep Sedation/General Anesthesia – First 15 Minutes 	Adjunctive 	Comprehensive - Non-Routine
D9223	deep sedation/general anesthesia-each subsequent 15 minute increment 	Adjunctive 	Comprehensive - Non-Routine
D9230	inhalation of nitrous oxide/anxiolysis analgesia 	Adjunctive 	Comprehensive - Non-Routine
D9239	Intravenous Moderate (conscious) Sedation/Analgesia – First 15 Minutes 	Adjunctive 	Comprehensive - Non-Routine
D9243	intravenous moderate (conscious) sedation/analgesia-each subsequent 15 minute increment 	Adjunctive 	Comprehensive - Non-Routine
D9248	non-intravenous conscious sedation. This includes non-iv minimal and moderate sedation. 	Adjunctive 	Comprehensive - Non-Routine
D9310	consultation (diagnostic service provided by dentist or physician other than practitioner providing treatment) 	Adjunctive 	Comprehensive - Non-Routine
D9311	consultation with a medical health care professional 	Adjunctive 	Comprehensive - Non-Routine
D9410	House/extended care facility call 	Adjunctive 	Comprehensive - Non-Routine
D9420	Hospital Call 	Adjunctive 	Comprehensive - Non-Routine
D9430	Office visit for observation - no other services performed 	Adjunctive 	Comprehensive - Non-Routine
D9440	Office visit after regularly scheduled hours 	Adjunctive 	Comprehensive - Non-Routine
D9450	Case presentation, detailed and extensive treatment planning 	Adjunctive 	Comprehensive - Non-Routine
D9610	therapeutic parenteral drug, single administration 	Adjunctive 	Comprehensive - Non-Routine
D9612	therapeutic parenteral drugs, two or more administrations, different medications 	Adjunctive 	Comprehensive - Non-Routine
D9630	other drugs and/or medicaments, by report 	Adjunctive 	Comprehensive - Non-Routine
D9910	application of desensitizing medicament 	Adjunctive 	Comprehensive - Non-Routine
D9911	application of desensitizing resin for cervical and/or root surface, per tooth 	Adjunctive 	Comprehensive - Non-Routine
D9920	Behavior Management 	Adjunctive 	Comprehensive - Non-Routine
D9930	Treatment of complications (post-surgical) - unusual circumstances, by report 	Adjunctive 	Comprehensive - Non-Routine
D9942	repair and/or reline of occlusal guards 	Adjunctive 	Comprehensive - Non-Routine
D9943	occlusal adjustment 	Adjunctive 	Comprehensive - Non-Routine
D9944	occlusal guard – hard appliance, full arch 	Adjunctive 	Comprehensive - Non-Routine
D9945	occlusal guard – soft appliance, full arch 	Adjunctive 	Comprehensive - Non-Routine
D9946	occlusal guard – hard appliance, partial arch 	Adjunctive 	Comprehensive - Non-Routine
D9950	occlusion analysis - mounted case 	Adjunctive 	Comprehensive - Non-Routine
D9951	occlusal adjustment - limited 	Adjunctive 	Comprehensive - Non-Routine
D9952	occlusal adjustment - complete 	Adjunctive 	Comprehensive - Non-Routine
D9972	external bleaching-per arch-performed in office 	Adjunctive 	Comprehensive - Non-Routine
D9999	Unspecified adjunctive procedure, by report 	Adjunctive 	Comprehensive - Non-Routine
